Experiment	bias spectroscopy	
Saved Date	05.06.2026 15:52:09	
User		
Date		
X (m)	450.081E-9	
Y (m)	-391.022E-9	
Z (m)	-28.1405E-9	
Z offset (m)	N/A	
Settling time (s)	2E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	FALSE	
Final Z (m)	N/A	
Start time	05.06.2026 15:51:48	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	500E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	500E-3	
Bias Spectroscopy>Sweep End (V)	5E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	20E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	5E-3	
Bias Spectroscopy>Settling time (s)	2E-3	
Bias Spectroscopy>Integration time (s)	40E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	FALSE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 1 X (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Revert Z Offset	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. OnOff 	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Value	200E-12	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Settl. (s)	0E+0	
Current>Current (A)	506.941E-12	
Current>Calibration (A/V)	10E-9	
Current>Offset (A)	-3.48698E-12	
Current>Gain	LN 10^8	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	1.1E+3	
Lock-in>Amplitude	20E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	38.8562E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-56.7264E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	OFF	
Lock-in>LP Filter Order D2	OFF	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	1E+0	
Oscillation Control>Input Range (m)	1E+0	
Oscillation Control>Center Frequency (Hz)	32.7E+3	
Oscillation Control>Range (Hz)	1.2207E+3	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	1.74535E+0	
Oscillation Control>Phase I gain (Hz/rad/s)	7.31089E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	35.1703E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	147.321E+6	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	0E+0	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	60E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	40.8754E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	100.001E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	4.265E-6	
Scan>Scanfield	447.397E-9;-391.418E-9;12E-9;12E-9;0E+0	
Scan>series name	Bi_Ag(111)_2660605_	
Scan>channels	Current (A);Z (m)	
Scan>pixels/line	256	
Scan>lines	256	
Scan>speed forw. (m/s)	78.125E-9	
Scan>speed backw. (m/s)	78.125E-9	
Z-Controller>Z (m)	-28.1057E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	500E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	9E-12	
Z-Controller>I gain	150E-9	
Z-Controller>Time const (s)	60E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)
500.00000E-3	509.75768E-12	500.00000E-3	-28.131643E-9	20.380933E-12	505.19222E-12	500.00000E-3	-28.100599E-9	21.536531E-12
517.64709E-3	506.39826E-12	517.64709E-3	-28.128552E-9	21.268293E-12	506.50101E-12	517.64709E-3	-28.094272E-9	19.931813E-12
535.29412E-3	508.54410E-12	535.29412E-3	-28.124532E-9	20.631184E-12	506.90380E-12	535.29412E-3	-28.094808E-9	20.909021E-12
552.94120E-3	507.06667E-12	552.94120E-3	-28.120756E-9	19.276709E-12	507.32196E-12	552.94120E-3	-28.095728E-9	20.020706E-12
570.58823E-3	509.06029E-12	570.58823E-3	-28.116000E-9	19.575775E-12	506.81498E-12	570.58823E-3	-28.091616E-9	19.330981E-12
588.23532E-3	512.50515E-12	588.23532E-3	-28.105555E-9	18.798414E-12	506.71606E-12	588.23532E-3	-28.082937E-9	20.838624E-12
605.88235E-3	512.13700E-12	605.88235E-3	-28.096052E-9	20.745064E-12	508.35725E-12	605.88235E-3	-28.069316E-9	18.194087E-12
623.52943E-3	510.68061E-12	623.52943E-3	-28.092286E-9	18.691954E-12	506.67404E-12	623.52943E-3	-28.065692E-9	19.781577E-12
641.17646E-3	508.47215E-12	641.17646E-3	-28.093508E-9	18.526639E-12	507.54512E-12	641.17646E-3	-28.065712E-9	18.301517E-12
658.82355E-3	511.16061E-12	658.82355E-3	-28.089657E-9	20.968231E-12	506.21130E-12	658.82355E-3	-28.067587E-9	18.921736E-12
676.47058E-3	510.23946E-12	676.47058E-3	-28.088113E-9	17.015989E-12	508.83542E-12	676.47058E-3	-28.060382E-9	18.750682E-12
694.11767E-3	508.74743E-12	694.11767E-3	-28.081708E-9	18.042378E-12	507.40473E-12	694.11767E-3	-28.054492E-9	17.111744E-12
711.76469E-3	506.52987E-12	711.76469E-3	-28.073073E-9	18.609570E-12	507.65780E-12	711.76469E-3	-28.048362E-9	19.118181E-12
729.41178E-3	506.19320E-12	729.41178E-3	-28.064756E-9	16.632281E-12	510.65469E-12	729.41178E-3	-28.041432E-9	17.712965E-12
747.05887E-3	505.45385E-12	747.05881E-3	-28.062287E-9	17.961936E-12	510.13210E-12	747.05881E-3	-28.041924E-9	17.497889E-12
764.70590E-3	504.90101E-12	764.70590E-3	-28.064850E-9	17.134552E-12	509.34384E-12	764.70590E-3	-28.041399E-9	16.786007E-12
782.35292E-3	505.68438E-12	782.35292E-3	-28.064571E-9	16.820883E-12	507.45302E-12	782.35292E-3	-28.037311E-9	16.642073E-12
800.00001E-3	508.34142E-12	800.00001E-3	-28.056824E-9	17.232877E-12	507.58736E-12	800.00001E-3	-28.029390E-9	16.699789E-12
817.64710E-3	511.64595E-12	817.64704E-3	-28.045244E-9	16.818515E-12	508.03273E-12	817.64704E-3	-28.023585E-9	17.367035E-12
835.29413E-3	508.26449E-12	835.29413E-3	-28.040084E-9	17.326930E-12	509.29516E-12	835.29413E-3	-28.021278E-9	17.691485E-12
852.94116E-3	506.60781E-12	852.94116E-3	-28.038238E-9	16.077459E-12	506.71162E-12	852.94116E-3	-28.025077E-9	16.334599E-12
870.58824E-3	506.06164E-12	870.58824E-3	-28.039530E-9	17.296315E-12	507.10353E-12	870.58824E-3	-28.023287E-9	15.922401E-12
888.23533E-3	505.86668E-12	888.23527E-3	-28.037064E-9	16.138261E-12	506.71695E-12	888.23527E-3	-28.017585E-9	17.344249E-12
905.88236E-3	505.61527E-12	905.88236E-3	-28.029829E-9	15.926260E-12	507.20350E-12	905.88236E-3	-28.008451E-9	15.682520E-12
923.52945E-3	505.78386E-12	923.52939E-3	-28.022681E-9	16.600749E-12	509.67575E-12	923.52939E-3	-27.999407E-9	16.461109E-12
941.17653E-3	505.33255E-12	941.17647E-3	-28.019729E-9	15.506128E-12	507.97783E-12	941.17647E-3	-27.999585E-9	15.818092E-12
958.82356E-3	505.01497E-12	958.82350E-3	-28.020978E-9	16.728268E-12	505.97854E-12	958.82350E-3	-28.004127E-9	17.344272E-12
976.47059E-3	505.24451E-12	976.47059E-3	-28.020718E-9	15.028742E-12	506.00801E-12	976.47059E-3	-28.002553E-9	16.732896E-12
994.11768E-3	506.95692E-12	994.11762E-3	-28.011957E-9	16.729871E-12	508.44706E-12	994.11762E-3	-27.994808E-9	16.134085E-12
1.0117648E+0	507.10386E-12	1.0117648E+0	-28.002228E-9	17.278694E-12	508.82015E-12	1.0117648E+0	-27.988845E-9	15.604334E-12
1.0294118E+0	508.70380E-12	1.0294118E+0	-27.992238E-9	14.261293E-12	507.69972E-12	1.0294118E+0	-27.982681E-9	17.006774E-12
1.0470588E+0	509.61840E-12	1.0470588E+0	-27.991179E-9	16.032106E-12	506.81248E-12	1.0470588E+0	-27.981681E-9	16.538233E-12
1.0647058E+0	508.06898E-12	1.0647058E+0	-27.993366E-9	15.414241E-12	507.60274E-12	1.0647058E+0	-27.979937E-9	14.907396E-12
