Experiment	bias spectroscopy	
Saved Date	05.06.2026 15:53:36	
User		
Date		
X (m)	452.683E-9	
Y (m)	-391.36E-9	
Z (m)	-28.0203E-9	
Z offset (m)	N/A	
Settling time (s)	2E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	FALSE	
Final Z (m)	N/A	
Start time	05.06.2026 15:53:14	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	500E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	500E-3	
Bias Spectroscopy>Sweep End (V)	5E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	20E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	5E-3	
Bias Spectroscopy>Settling time (s)	2E-3	
Bias Spectroscopy>Integration time (s)	40E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	FALSE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 1 X (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Revert Z Offset	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. OnOff 	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Value	200E-12	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Settl. (s)	0E+0	
Current>Current (A)	507.193E-12	
Current>Calibration (A/V)	10E-9	
Current>Offset (A)	-3.48698E-12	
Current>Gain	LN 10^8	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	1.1E+3	
Lock-in>Amplitude	20E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	38.8562E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-56.7264E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	OFF	
Lock-in>LP Filter Order D2	OFF	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	1E+0	
Oscillation Control>Input Range (m)	1E+0	
Oscillation Control>Center Frequency (Hz)	32.7E+3	
Oscillation Control>Range (Hz)	1.2207E+3	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	1.74535E+0	
Oscillation Control>Phase I gain (Hz/rad/s)	7.31089E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	35.1703E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	147.321E+6	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	0E+0	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	60E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	40.8754E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	100.001E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	4.265E-6	
Scan>Scanfield	447.397E-9;-391.418E-9;12E-9;12E-9;0E+0	
Scan>series name	Bi_Ag(111)_2660605_	
Scan>channels	Current (A);Z (m)	
Scan>pixels/line	256	
Scan>lines	256	
Scan>speed forw. (m/s)	78.125E-9	
Scan>speed backw. (m/s)	78.125E-9	
Z-Controller>Z (m)	-27.9965E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	500E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	9E-12	
Z-Controller>I gain	150E-9	
Z-Controller>Time const (s)	60E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)
500.00000E-3	510.22575E-12	500.00000E-3	-28.016839E-9	24.022073E-12	505.75316E-12	500.00000E-3	-27.999691E-9	24.097981E-12
517.64709E-3	512.55244E-12	517.64709E-3	-28.005957E-9	25.037200E-12	505.65352E-12	517.64709E-3	-27.988424E-9	23.469036E-12
535.29412E-3	509.72798E-12	535.29412E-3	-28.003402E-9	22.133481E-12	505.94012E-12	535.29412E-3	-27.977213E-9	22.829691E-12
552.94120E-3	509.11730E-12	552.94120E-3	-28.002097E-9	23.266642E-12	507.29820E-12	552.94120E-3	-27.970938E-9	22.268118E-12
570.58823E-3	512.52036E-12	570.58823E-3	-27.997384E-9	21.665435E-12	506.11187E-12	570.58823E-3	-27.972034E-9	22.047825E-12
588.23532E-3	513.64629E-12	588.23532E-3	-27.989795E-9	23.614700E-12	507.51298E-12	588.23532E-3	-27.970081E-9	22.631478E-12
605.88235E-3	510.67262E-12	605.88235E-3	-27.980825E-9	21.770134E-12	507.34988E-12	605.88235E-3	-27.963903E-9	21.938855E-12
623.52943E-3	512.35111E-12	623.52943E-3	-27.970199E-9	22.184464E-12	508.34020E-12	623.52943E-3	-27.952201E-9	21.485104E-12
641.17646E-3	513.48442E-12	641.17646E-3	-27.965198E-9	20.376379E-12	507.03197E-12	641.17646E-3	-27.945033E-9	21.111529E-12
658.82355E-3	511.26392E-12	658.82355E-3	-27.966991E-9	20.145972E-12	510.25112E-12	658.82355E-3	-27.939931E-9	22.301671E-12
676.47058E-3	509.23016E-12	676.47058E-3	-27.965401E-9	20.967348E-12	507.36165E-12	676.47058E-3	-27.940564E-9	20.620958E-12
694.11767E-3	511.64251E-12	694.11767E-3	-27.955979E-9	20.984783E-12	507.03020E-12	694.11767E-3	-27.940887E-9	21.151267E-12
711.76469E-3	511.48497E-12	711.76469E-3	-27.947566E-9	19.794284E-12	505.34243E-12	711.76469E-3	-27.935377E-9	20.827772E-12
729.41178E-3	510.12450E-12	729.41178E-3	-27.942024E-9	19.727296E-12	504.97362E-12	729.41178E-3	-27.924882E-9	19.454936E-12
747.05887E-3	507.09054E-12	747.05881E-3	-27.942251E-9	20.354220E-12	505.70675E-12	747.05881E-3	-27.918515E-9	19.170889E-12
764.70590E-3	507.48067E-12	764.70590E-3	-27.939796E-9	19.035473E-12	506.52121E-12	764.70590E-3	-27.916846E-9	19.094590E-12
782.35292E-3	506.29234E-12	782.35292E-3	-27.937219E-9	20.103938E-12	507.75101E-12	782.35292E-3	-27.916855E-9	18.905176E-12
800.00001E-3	507.32635E-12	800.00001E-3	-27.928825E-9	17.850383E-12	507.00832E-12	800.00001E-3	-27.915522E-9	19.140049E-12
817.64710E-3	506.29817E-12	817.64704E-3	-27.921134E-9	18.072410E-12	506.39248E-12	817.64704E-3	-27.908065E-9	16.885229E-12
835.29413E-3	506.16278E-12	835.29413E-3	-27.917396E-9	17.986834E-12	506.10438E-12	835.29413E-3	-27.899283E-9	18.214725E-12
852.94116E-3	506.48657E-12	852.94116E-3	-27.916299E-9	18.419667E-12	505.21848E-12	852.94116E-3	-27.894089E-9	17.208337E-12
870.58824E-3	506.51433E-12	870.58824E-3	-27.915034E-9	16.304701E-12	505.51319E-12	870.58824E-3	-27.891952E-9	17.109187E-12
888.23533E-3	505.16313E-12	888.23527E-3	-27.911517E-9	17.019964E-12	506.58211E-12	888.23527E-3	-27.891959E-9	17.450716E-12
905.88236E-3	505.89194E-12	905.88236E-3	-27.903301E-9	17.972441E-12	506.96025E-12	905.88236E-3	-27.891359E-9	16.084226E-12
923.52945E-3	505.90798E-12	923.52939E-3	-27.895391E-9	15.874855E-12	506.04954E-12	923.52939E-3	-27.885564E-9	18.287054E-12
941.17653E-3	506.86666E-12	941.17647E-3	-27.891341E-9	16.259272E-12	506.92228E-12	941.17647E-3	-27.877313E-9	16.259643E-12
958.82356E-3	506.34680E-12	958.82350E-3	-27.892032E-9	16.953728E-12	506.54864E-12	958.82350E-3	-27.873131E-9	16.786126E-12
976.47059E-3	508.38023E-12	976.47059E-3	-27.890019E-9	16.992999E-12	506.55680E-12	976.47059E-3	-27.870566E-9	17.791005E-12
994.11768E-3	507.30758E-12	994.11762E-3	-27.886715E-9	15.049791E-12	506.09672E-12	994.11762E-3	-27.871494E-9	16.645381E-12
1.0117648E+0	506.70990E-12	1.0117648E+0	-27.877000E-9	16.093946E-12	505.12128E-12	1.0117648E+0	-27.869799E-9	15.746678E-12
