Experiment	bias spectroscopy	
Saved Date	05.06.2026 15:50:00	
User		
Date		
X (m)	446.178E-9	
Y (m)	-390.515E-9	
Z (m)	-28.1789E-9	
Z offset (m)	N/A	
Settling time (s)	2E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	FALSE	
Final Z (m)	N/A	
Start time	05.06.2026 15:49:38	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	500E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	500E-3	
Bias Spectroscopy>Sweep End (V)	5E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	20E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	5E-3	
Bias Spectroscopy>Settling time (s)	2E-3	
Bias Spectroscopy>Integration time (s)	40E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	FALSE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 1 X (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Revert Z Offset	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. OnOff 	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Value	200E-12	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Settl. (s)	0E+0	
Current>Current (A)	506.786E-12	
Current>Calibration (A/V)	10E-9	
Current>Offset (A)	-3.48698E-12	
Current>Gain	LN 10^8	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	1.1E+3	
Lock-in>Amplitude	20E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	38.8562E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-56.7264E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	OFF	
Lock-in>LP Filter Order D2	OFF	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	1E+0	
Oscillation Control>Input Range (m)	1E+0	
Oscillation Control>Center Frequency (Hz)	32.7E+3	
Oscillation Control>Range (Hz)	1.2207E+3	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	1.74535E+0	
Oscillation Control>Phase I gain (Hz/rad/s)	7.31089E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	35.1703E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	147.321E+6	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	0E+0	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	60E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	40.8754E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	100.001E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	4.265E-6	
Scan>Scanfield	447.397E-9;-391.418E-9;12E-9;12E-9;0E+0	
Scan>series name	Bi_Ag(111)_2660605_	
Scan>channels	Current (A);Z (m)	
Scan>pixels/line	256	
Scan>lines	256	
Scan>speed forw. (m/s)	78.125E-9	
Scan>speed backw. (m/s)	78.125E-9	
Z-Controller>Z (m)	-28.1467E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	500E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	9E-12	
Z-Controller>I gain	150E-9	
Z-Controller>Time const (s)	60E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)
500.00000E-3	509.91467E-12	500.00000E-3	-28.173076E-9	19.014321E-12	507.56921E-12	500.00000E-3	-28.149390E-9	21.122774E-12
517.64709E-3	510.47916E-12	517.64709E-3	-28.165434E-9	19.037999E-12	508.43979E-12	517.64709E-3	-28.149158E-9	19.917406E-12
535.29412E-3	507.70282E-12	535.29412E-3	-28.164276E-9	19.597018E-12	507.56688E-12	535.29412E-3	-28.149181E-9	19.626288E-12
552.94120E-3	508.64085E-12	552.94120E-3	-28.161779E-9	21.238450E-12	508.50607E-12	552.94120E-3	-28.142512E-9	22.046602E-12
570.58823E-3	510.59623E-12	570.58823E-3	-28.157467E-9	22.101761E-12	509.37493E-12	570.58823E-3	-28.132257E-9	21.189921E-12
588.23532E-3	507.62594E-12	588.23532E-3	-28.153938E-9	23.323378E-12	506.62458E-12	588.23532E-3	-28.125090E-9	23.036521E-12
605.88235E-3	506.25687E-12	605.88235E-3	-28.146459E-9	24.130134E-12	506.11049E-12	605.88235E-3	-28.118624E-9	23.442292E-12
623.52943E-3	506.31382E-12	623.52943E-3	-28.135611E-9	26.137061E-12	505.96316E-12	623.52943E-3	-28.115858E-9	26.895132E-12
641.17646E-3	507.59802E-12	641.17646E-3	-28.124887E-9	29.169531E-12	506.95476E-12	641.17646E-3	-28.109184E-9	28.809776E-12
658.82355E-3	508.64457E-12	658.82355E-3	-28.114501E-9	30.501563E-12	506.35740E-12	658.82355E-3	-28.102759E-9	29.989507E-12
676.47058E-3	506.90452E-12	676.47058E-3	-28.110655E-9	27.937794E-12	507.11124E-12	676.47058E-3	-28.093165E-9	29.820153E-12
694.11767E-3	507.02104E-12	694.11767E-3	-28.104500E-9	25.373812E-12	505.26017E-12	694.11767E-3	-28.087083E-9	24.557266E-12
711.76469E-3	509.67264E-12	711.76469E-3	-28.099953E-9	18.253305E-12	506.52915E-12	711.76469E-3	-28.081891E-9	20.088056E-12
729.41178E-3	510.05022E-12	729.41178E-3	-28.092549E-9	16.941688E-12	506.39853E-12	729.41178E-3	-28.077205E-9	16.348577E-12
747.05887E-3	507.85642E-12	747.05881E-3	-28.091272E-9	14.813000E-12	507.97350E-12	747.05881E-3	-28.070041E-9	13.703971E-12
764.70590E-3	507.06217E-12	764.70590E-3	-28.085264E-9	12.801692E-12	509.02715E-12	764.70590E-3	-28.063290E-9	14.107351E-12
782.35292E-3	506.34813E-12	782.35292E-3	-28.082258E-9	13.981953E-12	507.93086E-12	782.35292E-3	-28.060457E-9	13.180043E-12
800.00001E-3	505.05833E-12	800.00001E-3	-28.078366E-9	11.737290E-12	506.80432E-12	800.00001E-3	-28.062329E-9	13.814074E-12
817.64710E-3	506.65994E-12	817.64704E-3	-28.073343E-9	13.482948E-12	506.58661E-12	817.64704E-3	-28.064584E-9	13.964877E-12
835.29413E-3	504.96157E-12	835.29413E-3	-28.073776E-9	14.953795E-12	505.20310E-12	835.29413E-3	-28.064338E-9	14.163313E-12
852.94116E-3	505.83532E-12	852.94116E-3	-28.070980E-9	15.623796E-12	505.26716E-12	852.94116E-3	-28.058905E-9	16.184243E-12
870.58824E-3	504.62767E-12	870.58824E-3	-28.066170E-9	17.746308E-12	505.50736E-12	870.58824E-3	-28.051456E-9	16.975492E-12
888.23533E-3	504.84877E-12	888.23527E-3	-28.066824E-9	19.669698E-12	508.21702E-12	888.23527E-3	-28.039892E-9	20.096638E-12
905.88236E-3	505.52912E-12	905.88236E-3	-28.058444E-9	22.050906E-12	507.44731E-12	905.88236E-3	-28.036661E-9	21.407973E-12
923.52945E-3	507.41505E-12	923.52939E-3	-28.050481E-9	25.186998E-12	509.17093E-12	923.52939E-3	-28.032211E-9	25.404068E-12
