Experiment	bias spectroscopy	
Saved Date	05.06.2026 15:53:57	
User		
Date		
X (m)	453.334E-9	
Y (m)	-391.444E-9	
Z (m)	-28.0087E-9	
Z offset (m)	N/A	
Settling time (s)	2E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	FALSE	
Final Z (m)	N/A	
Start time	05.06.2026 15:53:36	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	500E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	500E-3	
Bias Spectroscopy>Sweep End (V)	5E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	20E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	5E-3	
Bias Spectroscopy>Settling time (s)	2E-3	
Bias Spectroscopy>Integration time (s)	40E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	FALSE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 1 X (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Revert Z Offset	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. OnOff 	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Value	200E-12	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Settl. (s)	0E+0	
Current>Current (A)	506.651E-12	
Current>Calibration (A/V)	10E-9	
Current>Offset (A)	-3.48698E-12	
Current>Gain	LN 10^8	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	1.1E+3	
Lock-in>Amplitude	20E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	38.8562E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-56.7264E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	OFF	
Lock-in>LP Filter Order D2	OFF	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	1E+0	
Oscillation Control>Input Range (m)	1E+0	
Oscillation Control>Center Frequency (Hz)	32.7E+3	
Oscillation Control>Range (Hz)	1.2207E+3	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	1.74535E+0	
Oscillation Control>Phase I gain (Hz/rad/s)	7.31089E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	35.1703E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	147.321E+6	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	0E+0	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	60E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	40.8754E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	100.001E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	4.265E-6	
Scan>Scanfield	447.397E-9;-391.418E-9;12E-9;12E-9;0E+0	
Scan>series name	Bi_Ag(111)_2660605_	
Scan>channels	Current (A);Z (m)	
Scan>pixels/line	256	
Scan>lines	256	
Scan>speed forw. (m/s)	78.125E-9	
Scan>speed backw. (m/s)	78.125E-9	
Z-Controller>Z (m)	-27.982E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	500E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	9E-12	
Z-Controller>I gain	150E-9	
Z-Controller>Time const (s)	60E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)
500.00000E-3	504.77256E-12	500.00000E-3	-28.011053E-9	23.618930E-12	509.80414E-12	500.00000E-3	-27.981432E-9	23.627921E-12
517.64709E-3	505.45479E-12	517.64709E-3	-28.010819E-9	24.397016E-12	507.24724E-12	517.64709E-3	-27.979999E-9	23.997060E-12
535.29412E-3	506.25648E-12	535.29412E-3	-28.008184E-9	23.060187E-12	508.30723E-12	535.29412E-3	-27.975458E-9	22.986332E-12
552.94120E-3	506.95809E-12	552.94120E-3	-27.998482E-9	24.357037E-12	506.59649E-12	552.94120E-3	-27.969898E-9	24.293026E-12
570.58823E-3	506.25626E-12	570.58823E-3	-27.986909E-9	22.602730E-12	506.22617E-12	570.58823E-3	-27.959121E-9	22.838889E-12
588.23532E-3	506.29934E-12	588.23532E-3	-27.977487E-9	23.065907E-12	506.82120E-12	588.23532E-3	-27.951140E-9	22.745058E-12
605.88235E-3	505.73595E-12	605.88235E-3	-27.974172E-9	23.298875E-12	507.41394E-12	605.88235E-3	-27.947406E-9	23.466395E-12
623.52943E-3	506.92073E-12	623.52943E-3	-27.973003E-9	22.473374E-12	506.74542E-12	623.52943E-3	-27.947836E-9	22.458008E-12
641.17646E-3	506.66776E-12	641.17646E-3	-27.967925E-9	21.881613E-12	506.50856E-12	641.17646E-3	-27.946713E-9	23.087103E-12
658.82355E-3	507.44148E-12	658.82355E-3	-27.959066E-9	22.308958E-12	506.18931E-12	658.82355E-3	-27.939079E-9	21.860824E-12
676.47058E-3	506.27363E-12	676.47058E-3	-27.948964E-9	21.386207E-12	505.74500E-12	676.47058E-3	-27.930080E-9	22.230918E-12
694.11767E-3	506.94232E-12	694.11767E-3	-27.941818E-9	20.167611E-12	506.35518E-12	694.11767E-3	-27.920041E-9	20.769867E-12
711.76469E-3	507.08626E-12	711.76469E-3	-27.939446E-9	21.913193E-12	508.77191E-12	711.76469E-3	-27.913732E-9	20.670453E-12
729.41178E-3	507.84199E-12	729.41178E-3	-27.940107E-9	19.182477E-12	510.64436E-12	729.41178E-3	-27.911407E-9	19.573971E-12
747.05887E-3	506.95093E-12	747.05881E-3	-27.937270E-9	19.687314E-12	508.04544E-12	747.05881E-3	-27.913950E-9	20.793362E-12
764.70590E-3	508.05110E-12	764.70590E-3	-27.928031E-9	19.788194E-12	507.17180E-12	764.70590E-3	-27.910007E-9	19.740485E-12
782.35292E-3	506.20519E-12	782.35292E-3	-27.918805E-9	18.758366E-12	506.51155E-12	782.35292E-3	-27.901310E-9	19.512976E-12
800.00001E-3	505.33583E-12	800.00001E-3	-27.910888E-9	18.121681E-12	507.87330E-12	800.00001E-3	-27.894092E-9	20.045488E-12
817.64710E-3	505.25906E-12	817.64704E-3	-27.909175E-9	18.500673E-12	505.86918E-12	817.64704E-3	-27.892996E-9	17.429568E-12
835.29413E-3	506.04315E-12	835.29413E-3	-27.910790E-9	17.348461E-12	506.28035E-12	835.29413E-3	-27.891708E-9	17.712661E-12
852.94116E-3	506.99323E-12	852.94116E-3	-27.909371E-9	18.491588E-12	505.90049E-12	852.94116E-3	-27.887793E-9	19.056545E-12
870.58824E-3	507.92437E-12	870.58824E-3	-27.901589E-9	18.195178E-12	507.15565E-12	870.58824E-3	-27.881164E-9	16.840375E-12
888.23533E-3	507.23592E-12	888.23527E-3	-27.892010E-9	15.821552E-12	510.05633E-12	888.23527E-3	-27.871724E-9	17.984949E-12
905.88236E-3	506.13258E-12	905.88236E-3	-27.883297E-9	17.539182E-12	510.80790E-12	905.88236E-3	-27.868694E-9	18.085585E-12
923.52945E-3	504.95746E-12	923.52939E-3	-27.884077E-9	17.842550E-12	508.65034E-12	923.52939E-3	-27.870074E-9	16.667679E-12
941.17653E-3	504.88574E-12	941.17647E-3	-27.885767E-9	16.846037E-12	509.15472E-12	941.17647E-3	-27.866312E-9	17.230731E-12
